,ID,descriptions,prices,Brand,rating,free_shipping,daraz_mall,seller_rating,ontime_rating
0,1,Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13,"Rs. 34,999",No Brand,4.7,Free Shipping,0,0%,100%
1,2,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 49,999",Xiaomi,4.1,Pakistan,0,92%,100%
2,3,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,"Rs. 19,399",Xiaomi,5,Pakistan,0,92%,100%
3,4,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,"Rs. 64,499",No Brand,4,Free Shipping,0,0%,100%
4,5,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,"Rs. 32,999",No Brand,5,Free Shipping,0,0%,100%
5,6,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY SUPER FAST CHARGING,"Rs. 50,499",Redmi,4,Free Shipping,0,85%,100%
6,7,"Infinix Note 30 8GB/128GB - Android 13 - 6.78"" Display - 5000 mAh Battery","Rs. 43,499",No Brand,4.6,Free Shipping,0,0%,100%
7,8,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 38,450",Tecno,4.2,Free Shipping,0,89%,100%
8,9,Samsung Galaxy A14 6GB+128GB,"Rs. 54,999",Samsung,5,Pakistan,0,92%,100%
9,10,Samsung Galaxy A24 8GB+128GB,"Rs. 72,999",Samsung,0,Pakistan,0,92%,100%
10,11,itel A60s 4GB RAM* +128GB ROM 6.6″ HD+ Display 5000mAh Battery PTA approved Official Brand Warranty,"Rs. 22,399",itel,3,Free Shipping,0,85%,100%
11,12,"Infinix Hot 30 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 36,999",No Brand,4.7,Free Shipping,0,95%,85%
12,13,Redmi A2+ || 3GB Ram 64GB Rom || 5000mAh Battery Xiaomi Redmi A2 Plus,"Rs. 19,999",No Brand,0,Free Shipping,0,91%,74%
13,14,"Redmi 12C - 6.71"" Inch Display - 4GB RAM","Rs. 25,990",No Brand,0,Free Shipping,0,85%,100%
14,15,Samsung Galaxy A04 4GB+64GB,"Rs. 42,999",Samsung,0,Pakistan,0,92%,100%
15,16,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 46,999",No Brand,5,Free Shipping,0,95%,85%
16,17,Samsung Galaxy A14 4GB+128GB,"Rs. 51,999",Samsung,0,Pakistan,0,92%,100%
17,18,Xiaomi Redmi Note 12 || 8GB Ram 128GB Rom || 5000mAh Battery 33W Fast Charger,"Rs. 50,399",No Brand,4.8,Free Shipping,0,91%,74%
18,19,"Redmi 12C, 4GB RAM 128GB ROM , 50 MP Al Dual Camera , Finger Sensor , 5000 mAh Battery , Fast Charging","Rs. 29,999",No Brand,0,Free Shipping,0,95%,85%
19,20,Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 29,999",No Brand,0,Pakistan,0,93%,100%
20,21,"Itel S23 - 6.6"" Inch Display - 8GB + 8GB RAM - 128GB / 256GB ROM","Rs. 27,999",No Brand,0,Free Shipping,0,85%,100%
21,22,Infinix Hot 30 || 8GB+8GB Ram 128GB Rom || 5000mAh Battery,"Rs. 36,999",No Brand,0,Free Shipping,0,91%,74%
22,23,Samsung Galaxy A54 8GB+256GB,"Rs. 128,999",Samsung,5,Pakistan,0,92%,100%
23,24,"Infinix Note 30 , 8GB RAM 256GB ROM , 64MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 46,999",No Brand,5,Free Shipping,0,87%,Not enough data
24,25,"Tecno Camon 20 - 8GB/256GB - 64 MP Camera - 5000 mAH- Battery - 6.67""","Rs. 49,999",Tecno,0,Free Shipping,0,94%,100%
25,26,TECNO CAMON 20 - 8GB+8GB RAM 256GB ROM - 5000 mAh Battery,"Rs. 46,399",No Brand,0,Free Shipping,0,89%,100%
26,27,Redmi 12C || 4GB Ram 128GB Rom || 6.71 Inches IPS Display || 5000 mAh - Battery charging 10W wired,"Rs. 28,999",No Brand,0,Free Shipping,0,94%,92%
27,28,Samsung Galaxy A04s 4GB - 128GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,"Rs. 39,999",No Brand,0,Pakistan,0,93%,100%
28,29,Tecno CAMON 20 8GB RAM-256GB ROM 5000MAH BATTERY PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 45,496",No Brand,3,Pakistan,0,95%,100%
29,30,Sparx Neo X || 4GB RAM 64GB ROM || 50MP +2MP Camera || 5000mAh Battery || PTA Approved || 1 Year Brand Warranty,"Rs. 25,999",No Brand,5,Free Shipping,0,92%,96%
