,ID,Name,Review text
0,1,Muhammad B.,"Unbelievable! phone is 100 percent original and value for money, don't know how seller managed to offer the phone in such a cheap price, moreover its officially PTA approved. seller deserves 10 stars"
1,1,Musadique S.,"Genuine samsung mobile, well packed, pta approved. I like it. Very beautiful mobile and hope it will be long lasting experience. #11.11"
2,1,S***.,"#11.11 Mobile without mobile warranty card, charger but seems good, packing was not good delivery is pathatic"
3,1,Musadique S.,"Genuine samsung mobile, well packed, pta approved. I like it. Very beautiful mobile and hope it will be long lasting experience. #11.11"
4,1,S***.,"#11.11 Mobile without mobile warranty card, charger but seems good, packing was not good delivery is pathatic"
5,1,0***4,"Bought 3 phones and all are new, sealed pack, non active and PTA Approved. No warranty card but Daraz official warranty claimed by seller. #1111"
6,1,3***5,orignal pta approved hai.seal pack mob hai.perfomance me mobile buhat zbrdast hai.scren resulation b buhat best hai.jo b purchase karna chahty hai eyes close kar k order kar dy
7,1,0***4,"Original Samsung A14 Phone. Its daraz official warranty, not Samsung official warranty. 100% PTA Compliance. #1111"
8,1,3***9,"no warranty card, no charging cable,no adopter ab pata nahi chalne me kia rang dekhai ga? Allah kher kare. but delivered in time & same as shown."
9,2,Gohar I.,this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.
10,2,Yasir Q.,Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓
11,2,3***4,"Camera satisfactory nh ha, Baki mobile ok ha"
12,2,Yasir Q.,Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓
13,2,3***9,very good price comparison to Infinix note 30 pro which black market launch price 61k whereas selling it on 95k
14,2,Waseem A.,Product is good. well packed and everything included. Orignal product. Satisfied with the service. Delivery was on time.
15,2,Arshad F.,"The phone is very good and in good price. Delivery was fast. Phone box was wrapped in bubble wrap, so it was safe. Satisfied with the seller."
16,2,U***n,"Authentic product in good price . Lightweight, camera is 50MP but quality is not that good. Camera rating 7/10. User interface is very versatile. Face id recognition is not as expected 7/10. At night in ful darkness it has difficultly in recognition. Speaker sound is good."
17,2,Asim K.,Excellent quality. PTA approved. Fast delivery. Received less than 24 hours of order.
